noise_level,fault_type,accuracy,precision,recall,f1_score,mae
5,Baseline (Clean),0.9966,0.995475113122172,0.9959758551307847,0.9957254211717375,0.0034
5,Gaussian (EMI),0.9864,0.9819277108433735,0.9839034205231388,0.9829145728643216,0.0136
5,Impulse (Spikes),0.968,0.9471624266144814,0.9738430583501007,0.9603174603174603,0.032
5,Sensor Drift (Silt),0.945,0.8989287377736377,0.9708249496981891,0.9334945586457074,0.055
5,Freezing (Stuck),0.71,0.6357214934409687,0.6338028169014085,0.6347607052896725,0.29
10,Baseline (Clean),0.9966,0.995475113122172,0.9959758551307847,0.9957254211717375,0.0034
10,Gaussian (EMI),0.9698,0.9613259668508287,0.9627766599597586,0.9620507665242524,0.0302
10,Impulse (Spikes),0.9422,0.9020350212967345,0.9587525150905433,0.9295293830772983,0.0578
10,Sensor Drift (Silt),0.901,0.8216286083584662,0.9592555331991952,0.8851241587375261,0.099
10,Freezing (Stuck),0.6878,0.6119559517566859,0.5870221327967807,0.5992297817715019,0.3122
15,Baseline (Clean),0.9966,0.995475113122172,0.9959758551307847,0.9957254211717375,0.0034
15,Gaussian (EMI),0.953,0.9451498222447943,0.9361167002012073,0.9406115744250695,0.047
15,Impulse (Spikes),0.9176,0.8651529193697869,0.9391348088531187,0.9006271104679209,0.0824
15,Sensor Drift (Silt),0.8598,0.7552558508528362,0.9577464788732394,0.8445331559104015,0.1402
15,Freezing (Stuck),0.6842,0.6031265758951084,0.6016096579476862,0.6023671619239487,0.3158
20,Baseline (Clean),0.9966,0.995475113122172,0.9959758551307847,0.9957254211717375,0.0034
20,Gaussian (EMI),0.9474,0.9331993972877951,0.9346076458752515,0.9339029907011812,0.0526
20,Impulse (Spikes),0.8918,0.8257541647906349,0.9225352112676056,0.8714659063910668,0.1082
20,Sensor Drift (Silt),0.8192,0.697954711468225,0.9612676056338029,0.8087177316969953,0.1808
20,Freezing (Stuck),0.699,0.6156055528961225,0.6468812877263581,0.6308560215844984,0.301
25,Baseline (Clean),0.9966,0.995475113122172,0.9959758551307847,0.9957254211717375,0.0034
25,Gaussian (EMI),0.9338,0.9136295556665003,0.920523138832998,0.9170633926334252,0.0662
25,Impulse (Spikes),0.8694,0.7918670747704416,0.9109657947686117,0.8472514619883041,0.1306
25,Sensor Drift (Silt),0.7756,0.6459878624409979,0.9637826961770624,0.7735163504238999,0.2244
25,Freezing (Stuck),0.7008,0.632972972972973,0.5890342052313883,0.6102136529442418,0.2992
30,Baseline (Clean),0.9966,0.995475113122172,0.9959758551307847,0.9957254211717375,0.0034
30,Gaussian (EMI),0.9206,0.8936170212765957,0.9084507042253521,0.9009728111748566,0.0794
30,Impulse (Spikes),0.8462,0.7614757614757615,0.8928571428571429,0.821949525353091,0.1538
30,Sensor Drift (Silt),0.733,0.6022549326652051,0.9673038229376257,0.7423277359583093,0.267
30,Freezing (Stuck),0.6654,0.5789473684210527,0.5809859154929577,0.5799648506151143,0.3346
